freq	median_freq	CI_2.5	CI_97.5	prev	variant	total
0.0552853198691657	0.0471655625304166	0.00674878620560237	0.148187653592759	0.305216666666667	PF3D7_0417200:51_59_108:NRN;PF3D7_0810800:437_540:AE	4
0.0554416218065335	0.0475830757659759	0.00712599255940983	0.148671003459302	0.3064	PF3D7_0417200:51_59_108:NCS;PF3D7_0810800:437_540:GE	4
0.055598430303651	0.047306080951826	0.00707589237133425	0.151103526912625	0.3062	PF3D7_0417200:51_59_108:NRS;PF3D7_0810800:437_540:GE	4
0.0379667827682309	0.0287453031123991	0.00113666345552121	0.125528900937898	0.1401	PF3D7_0417200:51_59_108:ICS;PF3D7_0810800:437_540:AK	4
0.0461018272856737	0.0379634807828738	0.00229083015936803	0.136470850883185	0.216516666666667	PF3D7_0417200:51_59_108:IRS;PF3D7_0810800:437_540:AK	4
0.0452699253267618	0.0365878918496973	0.00206384354407042	0.134040842540533	0.212283333333333	PF3D7_0417200:51_59_108:ICS;PF3D7_0810800:437_540:GK	4
0.0379639262589472	0.0288646970926973	0.00113075045201231	0.126116633113256	0.140616666666667	PF3D7_0417200:51_59_108:IRS;PF3D7_0810800:437_540:GK	4
0.0267976090171864	0.019039067398295	0.000667222044767295	0.0971350717209347	0.0298	PF3D7_0417200:51_59_108:NCS;PF3D7_0810800:437_540:AK	4
0.0267596354148887	0.0191363793341364	0.000664824670579139	0.0949457952647466	0.0314833333333333	PF3D7_0417200:51_59_108:NRS;PF3D7_0810800:437_540:AK	4
0.0269869886902265	0.0190822178723811	0.000758822774713599	0.0971324565485471	0.0316333333333333	PF3D7_0417200:51_59_108:NCN;PF3D7_0810800:437_540:AK	4
0.0269307107503947	0.0190165494294085	0.000675603126082013	0.0976885426546546	0.0305166666666667	PF3D7_0417200:51_59_108:ICN;PF3D7_0810800:437_540:AK	4
0.0268673996224393	0.019089964489419	0.000723586890399777	0.0949486204256964	0.0295666666666667	PF3D7_0417200:51_59_108:NRN;PF3D7_0810800:437_540:AK	4
0.0267190436502634	0.0187947252006593	0.000737800093163208	0.0983815514562643	0.03155	PF3D7_0417200:51_59_108:IRN;PF3D7_0810800:437_540:AK	4
0.0269324573944962	0.0189565373132588	0.000732928658483727	0.0976164618903119	0.0274333333333333	PF3D7_0417200:51_59_108:NCS;PF3D7_0810800:437_540:GK	4
0.0262919642043782	0.0184150602426098	0.00066288718683619	0.0943593430655326	0.0252	PF3D7_0417200:51_59_108:NRS;PF3D7_0810800:437_540:GK	4
0.026938569863073	0.019046903538097	0.000754343181695723	0.0965629476973118	0.0293	PF3D7_0417200:51_59_108:NCN;PF3D7_0810800:437_540:GK	4
0.026861915169476	0.0187671238172257	0.000649129413028457	0.0967557354289015	0.0287166666666667	PF3D7_0417200:51_59_108:ICN;PF3D7_0810800:437_540:GK	4
0.0259853832915486	0.0183547596429902	0.000660231724471528	0.0944528902106749	0.0225166666666667	PF3D7_0417200:51_59_108:NRN;PF3D7_0810800:437_540:GK	4
0.0268118575659156	0.0190671800443788	0.000713909223018645	0.0945390257581018	0.0294166666666667	PF3D7_0417200:51_59_108:IRN;PF3D7_0810800:437_540:GK	4
0.0258961549586515	0.0182305363807283	0.000637372763311846	0.0923198255048295	0.02525	PF3D7_0417200:51_59_108:NCS;PF3D7_0810800:437_540:AE	4
0.0260429847281315	0.0184338357280144	0.000671600429625116	0.093090881101991	0.0217666666666667	PF3D7_0417200:51_59_108:ICS;PF3D7_0810800:437_540:AE	4
0.0264895409593176	0.0187652230864201	0.000643665336803745	0.0939568920281674	0.0279	PF3D7_0417200:51_59_108:NRS;PF3D7_0810800:437_540:AE	4
0.026072833124651	0.0186386761975504	0.000610746363991635	0.0931241939043573	0.0242166666666667	PF3D7_0417200:51_59_108:IRS;PF3D7_0810800:437_540:AE	4
0.0275176886083109	0.0195453275302104	0.000702870725956731	0.0968281281498087	0.0374666666666667	PF3D7_0417200:51_59_108:NCN;PF3D7_0810800:437_540:AE	4
0.0271945061603994	0.0191521074024503	0.000779047200167058	0.0979577989292622	0.0323333333333333	PF3D7_0417200:51_59_108:ICN;PF3D7_0810800:437_540:AE	4
0.0268194925753528	0.0188615609807588	0.000750354145887142	0.0988283212487241	0.0325166666666667	PF3D7_0417200:51_59_108:IRN;PF3D7_0810800:437_540:AE	4
